Time,yaw,pitch,roll,magx,magy,magz,accelx,accely,accelz,gyrox,gyroy,gyroz
12.282999992370605,-4.161,-3.953,-0.704,0.056,0.2333,0.4071,0.306,0.172,-10.302,-0.030669,-0.388865,-0.206351
12.406999826431274,-6.074,-9.894,-0.93,0.1022,0.2346,0.3995,-0.887,-0.038,-9.579,-0.089871,-1.119312,-0.244187
12.513000011444092,-7.418,-16.438,-1.216,0.1479,0.2308,0.38,-3.011,0.174,-8.916,-0.136667,-1.135817,-0.332447
12.592000007629395,-9.145,-21.072,-1.422,0.1779,0.2398,0.3652,-3.623,0.064,-8.934,-0.214113,-0.997064,-0.481131
12.66599988937378,-11.906,-25.555,-1.661,0.2061,0.2323,0.352,-4.105,-0.054,-8.429,-0.346399,-1.01318,-0.619422
12.760999917984009,-13.409,-31.88,-2.12,0.2453,0.2402,0.3262,-4.655,-0.186,-8.329,-0.151361,-1.281744,-0.094822
12.833999872207642,-13.258,-38.159,-2.873,0.2833,0.2321,0.3016,-5.541,1.064,-7.356,-0.145019,-1.588931,0.000113
12.92799997329712,-13.077,-45.198,-3.392,0.3185,0.2337,0.2608,-5.989,-0.069,-6.07,-0.10264,-1.730518,-0.060439
13.08299994468689,-11.223,-61.607,-5.965,0.3932,0.2375,0.1712,-9.609,0.494,-4.444,0.016999,-1.270283,-0.009507
13.20199990272522,-9.955,-66.038,-6.656,0.4081,0.2428,0.1332,-10.316,0.026,-2.95,0.148045,-0.284894,0.10377
13.325999975204468,-8.985,-64.928,-7.186,0.4042,0.2376,0.1308,-10.156,0.653,-3.495,-0.008502,0.516345,0.062106
13.385999917984009,-9.823,-61.742,-6.513,0.3942,0.2305,0.1591,-10.005,0.638,-4.1,0.018406,0.98503,0.050716
13.484999895095825,-10.409,-53.929,-4.945,0.3651,0.2343,0.207,-7.558,0.378,-5.002,0.267556,1.550729,0.212837
13.553999900817871,-10.341,-49.621,-4.314,0.345,0.2327,0.2358,-7.318,1.177,-5.924,0.214454,1.453738,-0.00971
13.6489999294281,-10.242,-42.291,-3.061,0.3128,0.2272,0.2781,-6.056,0.472,-7.25,0.30517,1.208089,0.225586
13.759999990463257,-7.355,-33.766,-2.241,0.2676,0.23,0.3102,-5.253,-0.012,-7.73,0.23948,1.082132,0.24411
13.86299991607666,-7.288,-27.183,-1.83,0.2223,0.2266,0.3401,-4.137,0.655,-8.572,0.008769,1.252392,-0.085849
13.97000002861023,-7.552,-19.72,-1.386,0.1739,0.2239,0.3692,-2.383,0.229,-9.161,0.041018,1.288621,-0.028379
14.074999809265137,-7.698,-14.005,-1.088,0.1359,0.2223,0.3891,-1.573,-0.134,-9.947,0.024959,0.64521,-0.025012
14.172999858856201,-7.591,-11.6,-0.955,0.1164,0.2278,0.3937,-3.47,0.057,-8.693,0.044868,0.575957,0.088213
14.28600001335144,-7.715,-4.078,-0.638,0.0558,0.2233,0.3999,-0.976,0.098,-9.641,0.049337,1.274801,-0.048648
14.408999919891357,-8.548,-2.901,-0.562,0.047,0.2249,0.4091,-1.676,0.126,-9.95,-0.008591,0.012536,-0.000568
14.513999938964844,-8.528,-2.807,-0.586,0.0461,0.226,0.4114,-0.683,0.209,-9.67,0.004958,0.027516,0.006352
14.595999956130981,-8.53,-2.834,-0.61,0.0469,0.2197,0.4092,-0.785,0.225,-9.735,-0.002768,-0.014463,0.001156
14.666999816894531,-8.53,-2.81,-0.621,0.0452,0.225,0.4125,-1.231,0.011,-9.585,-0.01382,0.043357,0.002795
14.766999959945679,-8.528,-2.828,-0.61,0.0442,0.225,0.4113,-0.67,0.035,-9.68,0.027265,-0.029852,0.003767
14.924000024795532,-12.613,-4.507,0.571,0.0527,0.2364,0.4012,1.696,-0.448,-12.507,0.525857,-0.549711,-0.483069
15.049000024795532,-17.604,-10.403,2.309,0.0902,0.2537,0.389,-3.588,-1.256,-8.595,-0.515923,-0.448435,-0.878119
15.155999898910522,-24.891,-8.234,-0.506,0.0674,0.234,0.3905,-2.091,0.148,-8.67,-0.862499,0.810263,-1.509103
15.234999895095825,-33.986,-4.86,-4.391,0.0274,0.206,0.4044,-0.593,0.785,-9.231,-0.786893,0.383637,-1.464486
15.329999923706055,-43.88,-4.686,-6.262,0.0141,0.1914,0.4086,-2.267,2.178,-8.411,-0.175508,0.23452,-1.950365
15.43999981880188,-57.452,-4.106,-5.564,-0.0077,0.1862,0.4144,0.004,0.988,-8.494,-0.112438,0.226754,-2.213072
15.51199984550476,-65.87,-5.257,-5.897,-0.006,0.1778,0.4123,-0.481,1.415,-8.303,-0.348149,-0.373065,-1.812885
15.607999801635742,-77.434,-7.144,-6.056,-0.0021,0.1657,0.4153,-2.404,1.155,-8.804,-0.196919,0.398572,-2.073147
15.715999841690063,-86.631,-3.737,-6.097,-0.0381,0.1558,0.4186,2.628,0.79,-10.819,-0.09087,0.776197,-0.325113
15.791999816894531,-83.266,-1.389,-5.684,-0.052,0.1676,0.4212,0.422,2.592,-11.422,0.319693,0.197515,1.154996
15.889999866485596,-78.521,-0.278,-3.641,-0.0583,0.1846,0.4171,0.472,0.079,-10.575,0.277422,0.097854,0.941192
16.000999927520752,-69.546,2.614,-3.764,-0.0705,0.1868,0.4152,2.479,-0.167,-9.624,-0.328865,0.487622,2.171706
16.074999809265137,-58.709,4.286,-5.043,-0.0753,0.1885,0.4146,0.94,1.41,-10.398,-0.491348,-0.089325,2.579205
16.168999910354614,-47.321,3.335,-5.833,-0.0557,0.1884,0.4198,-0.893,2.729,-10.437,0.050169,-0.308605,1.34126
16.283999919891357,-31.141,2.135,-1.413,-0.0295,0.2284,0.4124,0.863,0.636,-9.199,0.85254,-0.289276,2.899991
16.393999814987183,-14.219,0.767,3.407,0.0091,0.2645,0.3964,-0.619,-0.585,-8.559,0.581549,-0.101644,2.781323
16.491999864578247,0.753,-0.285,5.38,0.0342,0.2779,0.3911,-0.618,-0.73,-9.23,0.203819,0.178939,2.658802
16.64199995994568,21.007,-1.197,6.708,0.0632,0.2764,0.3926,-0.105,0.083,-10.076,0.26779,-0.223026,1.931172
